image_path,steering_angle,label
Middle Section Normal/turn_left/20250616_210954_017704.jpg,-0.056,turn_left
Circuito Invertido/turn_right/20250614_100526_391333.jpg,0.052,turn_right
Circuito Normal/straight/20250614_094932_550843.jpg,-0.025,straight
Middle Section Normal Extra/turn_left/20250618_195638_777266.jpg,-0.03,turn_left
Circuito Normal/turn_left/20250614_094137_174009.jpg,-0.08,turn_left
Dark Section/turn_left/20250618_201827_706543.jpg,-0.068,turn_left
Maniobras/turn_right/20250621_112506_954482.jpg,0.058,turn_right
Circuito Normal/straight/20250614_095655_503600.jpg,0.015,straight
Dark Section/turn_left/20250618_201923_747782.jpg,-0.076,turn_left
Circuito Medio Invertido/straight/20250614_102250_934415.jpg,0.012,straight
Circuito Normal/turn_left/20250614_095547_064011.jpg,-0.07,turn_left
Circuito Invertido/turn_right/20250614_101146_951822.jpg,0.08,turn_right
Circuito Invertido/turn_right/20250614_100231_726389.jpg,0.096,turn_right
Circuito Invertido/straight/20250614_100753_444752.jpg,-0.008,straight
Circuito Medio Normal/turn_left/20250614_101748_783906.jpg,-0.064,turn_left
Circuito Medio Normal/turn_left/20250614_101700_927198.jpg,-0.1,turn_left
Circuito Invertido/straight/20250614_101206_446693.jpg,-0.0,straight
Circuito Medio Normal/turn_left/20250614_101642_270847.jpg,-0.06,turn_left
Circuito Invertido/turn_right/20250614_100141_269531.jpg,0.048,turn_right
Dark Section Extra/turn_left/20250618_204812_716310.jpg,-0.054,turn_left
Circuito Normal/turn_left/20250614_095438_838772.jpg,-0.035,turn_left
Circuito Medio Invertido/turn_right/20250614_102212_532393.jpg,0.076,turn_right
Circuito Invertido/turn_right/20250614_100716_510732.jpg,0.068,turn_right
Circuito Medio Normal/straight/20250614_101507_094542.jpg,-0.008,straight
Circuito Medio Invertido/turn_right/20250614_102111_337251.jpg,0.088,turn_right
Maniobras/turn_right/20250621_112408_781201.jpg,0.06,turn_right
Circuito Invertido/straight/20250614_100052_649461.jpg,0.004,straight
Circuito Normal/turn_left/20250614_095231_273683.jpg,-0.065,turn_left
Middle Section Normal Extra/turn_left/20250618_195626_936713.jpg,-0.062,turn_left
Circuito Normal/straight/20250614_095241_359607.jpg,0.0,straight
Circuito Medio Normal/straight/20250614_101707_927564.jpg,0.0,straight
Circuito Medio Invertido/turn_right/20250614_102052_550965.jpg,0.056,turn_right
Circuito Invertido/turn_right/20250614_100144_102081.jpg,0.124,turn_right
Middle Section Normal Extra/turn_right/20250618_200056_737610.jpg,0.076,turn_right
Circuito Normal/straight/20250614_094828_579719.jpg,0.0,straight
Circuito Medio Invertido/turn_right/20250614_102042_079028.jpg,0.06,turn_right
Circuito Medio Normal/turn_left/20250614_101502_789768.jpg,-0.064,turn_left
Circuito Normal/turn_left/20250614_094834_354328.jpg,-0.06,turn_left
Circuito Medio Invertido/turn_right/20250614_102128_776491.jpg,0.076,turn_right
Circuito Invertido/straight/20250614_100316_917605.jpg,-0.008,straight
Middle Section Normal/turn_left/20250616_211357_779079.jpg,-0.074,turn_left
Circuito Normal/straight/20250614_095758_814793.jpg,0.0,straight
Circuito Medio Invertido/turn_right/20250614_102156_600333.jpg,0.08,turn_right
Circuito Invertido/turn_right/20250614_100610_345561.jpg,0.052,turn_right
Circuito Normal/turn_left/20250614_095135_933335.jpg,-0.07,turn_left
Circuito Normal/turn_left/20250614_095625_500549.jpg,-0.085,turn_left
Dark Section Extra/turn_left/20250618_204952_348160.jpg,-0.04,turn_left
Circuito Invertido/straight/20250614_100201_851118.jpg,0.0,straight
Middle Section Normal/turn_right/20250616_211237_138731.jpg,0.09,turn_right
Dark Section/turn_left/20250618_201848_326327.jpg,-0.09,turn_left
Middle Section Normal Extra/turn_right/20250618_200102_557884.jpg,0.072,turn_right
Circuito Normal/straight/20250614_094327_662845.jpg,0.0,straight
Middle Section Normal Extra/turn_left/20250618_195820_935799.jpg,-0.072,turn_left
Maniobras/straight/20250621_112439_817314.jpg,0.0,straight
Middle Section Normal Extra/turn_left/20250618_195926_937768.jpg,-0.078,turn_left
Middle Section Normal/turn_left/20250616_211352_185475.jpg,-0.074,turn_left
Dark Section Extra/turn_left/20250618_204926_406827.jpg,-0.068,turn_left
Middle Section Normal Extra/turn_right/20250618_200059_226988.jpg,0.094,turn_right
Circuito Normal/straight/20250614_094415_389729.jpg,-0.005,straight
Circuito Invertido/turn_right/20250614_100441_150933.jpg,0.084,turn_right
Circuito Normal/straight/20250614_095241_195063.jpg,0.0,straight
Circuito Invertido/straight/20250614_100435_475858.jpg,0.004,straight
Dark Section/turn_left/20250618_201925_759395.jpg,-0.086,turn_left
Maniobras/straight/20250621_112335_711379.jpg,0.002,straight
Circuito Medio Invertido/straight/20250614_102308_205239.jpg,-0.0,straight
Middle Section Normal/straight/20250616_211220_616000.jpg,0.002,straight
Middle Section Normal Extra/turn_left/20250618_195930_436093.jpg,-0.078,turn_left
Circuito Medio Normal/turn_left/20250614_101640_300308.jpg,-0.064,turn_left
Circuito Invertido/straight/20250614_100045_742298.jpg,-0.028,straight
Maniobras/straight/20250621_112239_316381.jpg,0.0,straight
Middle Section Normal Extra/turn_left/20250618_195715_828230.jpg,-0.054,turn_left
Middle Section Normal/turn_right/20250616_211328_239163.jpg,0.07,turn_right
Circuito Invertido/turn_right/20250614_100359_716231.jpg,0.044,turn_right
Circuito Normal/straight/20250614_094034_180331.jpg,0.0,straight
Circuito Invertido/turn_right/20250614_100655_295572.jpg,0.084,turn_right
Middle Section Normal Extra/turn_left/20250618_195720_581176.jpg,-0.08,turn_left
Middle Section Normal Extra/turn_right/20250618_200101_216901.jpg,0.072,turn_right
Dark Section/turn_left/20250618_201815_148601.jpg,-0.072,turn_left
Circuito Medio Normal/turn_left/20250614_101730_778907.jpg,-0.032,turn_left
Middle Section Normal Extra/turn_right/20250618_200100_537421.jpg,0.092,turn_right
Maniobras/turn_left/20250621_112606_861889.jpg,-0.036,turn_left
Dark Section Extra/turn_right/20250618_204939_965121.jpg,0.044,turn_right
Circuito Invertido/straight/20250614_100200_513384.jpg,0.0,straight
Circuito Invertido/turn_right/20250614_100717_987031.jpg,0.092,turn_right
Circuito Medio Normal/turn_left/20250614_101609_454002.jpg,-0.06,turn_left
Circuito Normal/straight/20250614_095351_682621.jpg,0.0,straight
Circuito Normal/straight/20250614_095720_802288.jpg,0.0,straight
Maniobras/straight/20250621_112305_724199.jpg,0.02,straight
Dark Section Extra/turn_left/20250618_204959_421754.jpg,-0.08,turn_left
Circuito Normal/turn_right/20250614_094151_899061.jpg,0.1,turn_right
Circuito Invertido/straight/20250614_101038_146877.jpg,0.004,straight
Dark Section/turn_left/20250618_201857_753242.jpg,-0.09,turn_left
Middle Section Normal/straight/20250616_211123_088787.jpg,-0.006,straight
Maniobras/turn_left/20250621_112446_156539.jpg,-0.074,turn_left
Maniobras/turn_right/20250621_112408_433144.jpg,0.052,turn_right
Circuito Normal/turn_left/20250614_094634_633973.jpg,-0.055,turn_left
Dark Section/turn_left/20250618_201818_308636.jpg,-0.072,turn_left
Middle Section Normal Extra/turn_left/20250618_200109_729447.jpg,-0.078,turn_left
Circuito Normal/turn_left/20250614_094834_023599.jpg,-0.06,turn_left
Circuito Invertido/turn_right/20250614_100321_897293.jpg,0.064,turn_right
Middle Section Normal Extra/turn_left/20250618_200018_554216.jpg,-0.058,turn_left
Circuito Invertido/turn_right/20250614_101119_283736.jpg,0.072,turn_right
Maniobras/turn_left/20250621_112638_194498.jpg,-0.05,turn_left
Circuito Invertido/turn_right/20250614_101150_437284.jpg,0.08,turn_right
Circuito Normal/straight/20250614_094717_154691.jpg,-0.005,straight
Circuito Invertido/straight/20250614_101115_472268.jpg,0.016,straight
Circuito Normal/turn_left/20250614_093954_605375.jpg,-0.035,turn_left
Dark Section/turn_left/20250618_201920_592992.jpg,-0.1,turn_left
Circuito Invertido/straight/20250614_100157_545827.jpg,0.012,straight
Middle Section Normal/turn_left/20250616_211350_197672.jpg,-0.058,turn_left
Circuito Invertido/turn_right/20250614_100323_252073.jpg,0.1,turn_right
Middle Section Normal/straight/20250616_211256_541428.jpg,0.018,straight
Circuito Normal/straight/20250614_093959_895910.jpg,0.01,straight
Circuito Medio Invertido/turn_right/20250614_102259_248160.jpg,0.08,turn_right
Circuito Normal/straight/20250614_094911_699161.jpg,0.0,straight
Middle Section Normal Extra/turn_left/20250618_200128_653119.jpg,-0.08,turn_left
Middle Section Normal Extra/turn_left/20250618_200125_765448.jpg,-0.08,turn_left
Middle Section Normal Extra/turn_right/20250618_195657_039604.jpg,0.068,turn_right
Circuito Invertido/turn_right/20250614_101147_954892.jpg,0.104,turn_right
Middle Section Normal Extra/turn_right/20250618_195756_716363.jpg,0.096,turn_right
Circuito Invertido/turn_right/20250614_101031_363280.jpg,0.088,turn_right
Dark Section Extra/turn_left/20250618_205012_302367.jpg,-0.03,turn_left
Middle Section Normal/straight/20250616_211324_595508.jpg,-0.002,straight
Middle Section Normal Extra/turn_left/20250618_200022_875899.jpg,-0.058,turn_left
Maniobras/straight/20250621_112428_994488.jpg,0.004,straight
Circuito Normal/straight/20250614_094537_679431.jpg,-0.03,turn_left
Circuito Invertido/turn_right/20250614_100216_714560.jpg,0.084,turn_right
Circuito Normal/straight/20250614_094814_052031.jpg,-0.02,straight
Middle Section Normal/straight/20250616_211118_969075.jpg,-0.026,straight
Dark Section/turn_left/20250618_201827_218116.jpg,-0.068,turn_left
Dark Section/turn_left/20250618_201851_642473.jpg,-0.07,turn_left
Circuito Normal/straight/20250614_095313_053984.jpg,-0.015,straight
Dark Section/turn_left/20250618_201745_205960.jpg,-0.106,turn_left
Circuito Medio Normal/turn_left/20250614_101721_779560.jpg,-0.068,turn_left
Middle Section Normal Extra/turn_right/20250618_195703_932153.jpg,0.058,turn_right
Circuito Invertido/turn_right/20250614_100359_716231.jpg,0.044,turn_right
Dark Section Extra/turn_left/20250618_204812_716310.jpg,-0.054,turn_left
Circuito Normal/turn_left/20250614_094448_994884.jpg,-0.045,turn_left
Circuito Medio Invertido/turn_right/20250614_102233_584507.jpg,0.048,turn_right
Circuito Invertido/straight/20250614_100516_328213.jpg,0.0,straight
Circuito Normal/turn_right/20250614_094624_239554.jpg,0.06,turn_right
Circuito Normal/straight/20250614_095328_723904.jpg,0.0,straight
Middle Section Normal Extra/turn_right/20250618_195609_085647.jpg,0.09,turn_right
Circuito Normal/turn_left/20250614_095135_106203.jpg,-0.035,turn_left
Circuito Medio Invertido/turn_right/20250614_102123_253804.jpg,0.056,turn_right
Circuito Medio Invertido/turn_right/20250614_102156_440195.jpg,0.08,turn_right
Maniobras/straight/20250621_112223_681880.jpg,-0.002,straight
Dark Section Extra/straight/20250618_205003_441594.jpg,-0.008,straight
Maniobras/turn_right/20250621_112536_579405.jpg,0.032,turn_right
Dark Section/turn_left/20250618_201854_937521.jpg,-0.054,turn_left
Middle Section Normal Extra/turn_left/20250618_195616_985019.jpg,-0.086,turn_left
Circuito Invertido/straight/20250614_101015_097374.jpg,-0.0,straight
Circuito Normal/straight/20250614_094311_501594.jpg,0.005,straight
Circuito Invertido/turn_right/20250614_101117_955596.jpg,0.048,turn_right
Circuito Medio Invertido/turn_right/20250614_102210_553367.jpg,0.036,turn_right
Middle Section Normal/turn_left/20250616_211025_532728.jpg,-0.092,turn_left
Middle Section Normal/turn_right/20250616_211228_531579.jpg,0.036,turn_right
Circuito Normal/straight/20250614_094913_512289.jpg,-0.005,straight
Circuito Medio Normal/straight/20250614_101654_780246.jpg,-0.016,straight
Circuito Normal/turn_left/20250614_095659_822576.jpg,-0.07,turn_left
Circuito Normal/straight/20250614_094850_355285.jpg,-0.005,straight
Circuito Normal/turn_left/20250614_095005_806994.jpg,-0.04,turn_left
Circuito Invertido/turn_right/20250614_100300_231444.jpg,0.088,turn_right
Dark Section Extra/turn_left/20250618_204943_343609.jpg,-0.042,turn_left
Circuito Normal/turn_left/20250614_094135_193049.jpg,-0.055,turn_left
Circuito Invertido/straight/20250614_100425_159096.jpg,-0.012,straight
Circuito Normal/turn_left/20250614_094135_043935.jpg,-0.055,turn_left
Circuito Medio Invertido/turn_right/20250614_102007_082191.jpg,0.06,turn_right
Circuito Normal/turn_left/20250614_094758_509442.jpg,-0.055,turn_left
Circuito Normal/turn_left/20250614_094138_998570.jpg,-0.08,turn_left
Middle Section Normal Extra/turn_left/20250618_195730_474041.jpg,-0.066,turn_left
Circuito Normal/straight/20250614_095320_796381.jpg,0.0,straight
Middle Section Normal/turn_right/20250616_211233_825915.jpg,0.09,turn_right
Circuito Medio Normal/turn_left/20250614_101611_104099.jpg,-0.076,turn_left
Middle Section Normal/turn_right/20250616_211228_374007.jpg,0.036,turn_right
Circuito Invertido/turn_right/20250614_100323_252073.jpg,0.1,turn_right
Circuito Medio Invertido/turn_right/20250614_102210_883385.jpg,0.044,turn_right
Circuito Normal/straight/20250614_094109_628650.jpg,-0.02,straight
Circuito Medio Invertido/turn_right/20250614_102036_246491.jpg,0.064,turn_right
Circuito Normal/straight/20250614_094908_388121.jpg,-0.01,straight
Circuito Medio Invertido/turn_right/20250614_102212_864810.jpg,0.076,turn_right
Middle Section Normal/straight/20250616_211202_777713.jpg,-0.006,straight
Circuito Normal/turn_left/20250614_094059_179846.jpg,-0.04,turn_left
Circuito Medio Invertido/straight/20250614_102031_550699.jpg,0.004,straight
Middle Section Normal Extra/straight/20250618_195746_765564.jpg,0.0,straight
Circuito Normal/straight/20250614_094521_325445.jpg,0.0,straight
Circuito Invertido/turn_right/20250614_100951_700515.jpg,0.056,turn_right
Dark Section/straight/20250618_201828_730335.jpg,-0.024,straight
Circuito Normal/straight/20250614_094245_687483.jpg,-0.02,straight
Circuito Normal/turn_left/20250614_095156_433960.jpg,-0.07,turn_left
Dark Section Extra/straight/20250618_204754_392708.jpg,0.0,straight
Middle Section Normal/turn_right/20250616_211137_256305.jpg,0.052,turn_right
Circuito Invertido/straight/20250614_100543_151846.jpg,-0.004,straight
Middle Section Normal/straight/20250616_211203_949525.jpg,-0.006,straight
Circuito Normal/turn_left/20250614_094137_343217.jpg,-0.08,turn_left
Middle Section Normal Extra/turn_left/20250618_200019_042596.jpg,-0.058,turn_left
Circuito Medio Normal/turn_left/20250614_101611_757880.jpg,-0.076,turn_left
Middle Section Normal Extra/turn_left/20250618_195808_701973.jpg,-0.072,turn_left
Circuito Normal/turn_left/20250614_095740_438482.jpg,-0.06,turn_left
Middle Section Normal Extra/turn_left/20250618_195816_524494.jpg,-0.084,turn_left
Dark Section/straight/20250618_201918_783072.jpg,-0.022,straight
Circuito Medio Invertido/turn_right/20250614_101921_705704.jpg,0.088,turn_right
Circuito Normal/turn_left/20250614_094610_691782.jpg,-0.105,turn_left
Circuito Normal/turn_left/20250614_095116_310475.jpg,-0.07,turn_left
Circuito Normal/turn_right/20250614_095100_210091.jpg,0.04,turn_right
Circuito Invertido/turn_right/20250614_100811_624120.jpg,0.032,turn_right
Circuito Invertido/straight/20250614_100455_741880.jpg,0.0,straight
Circuito Normal/turn_left/20250614_095229_989506.jpg,-0.095,turn_left
Circuito Normal/straight/20250614_095801_306450.jpg,0.015,straight
Maniobras/straight/20250621_112326_105202.jpg,-0.028,straight
Circuito Invertido/straight/20250614_100426_650201.jpg,-0.004,straight
Dark Section/turn_left/20250618_201825_900442.jpg,-0.08,turn_left
Maniobras/straight/20250621_112550_318423.jpg,-0.024,straight
Circuito Invertido/straight/20250614_100209_437043.jpg,0.0,straight
Circuito Invertido/turn_right/20250614_100255_766002.jpg,0.096,turn_right
Circuito Invertido/turn_right/20250614_100729_621359.jpg,0.08,turn_right
Circuito Invertido/turn_right/20250614_100954_848677.jpg,0.1,turn_right
Circuito Normal/straight/20250614_094001_383161.jpg,-0.015,straight
Circuito Normal/straight/20250614_094915_843154.jpg,0.0,straight
Circuito Invertido/turn_right/20250614_101122_279188.jpg,0.068,turn_right
Circuito Normal/straight/20250614_094001_729313.jpg,-0.015,straight
Circuito Normal/straight/20250614_094004_036439.jpg,-0.01,straight
Circuito Medio Normal/turn_left/20250614_101613_471697.jpg,-0.056,turn_left
Circuito Normal/straight/20250614_095504_220521.jpg,0.0,straight
Middle Section Normal/turn_left/20250616_210954_181206.jpg,-0.056,turn_left
Circuito Invertido/turn_right/20250614_100354_231872.jpg,0.032,turn_right
Circuito Medio Invertido/turn_right/20250614_101952_922585.jpg,0.088,turn_right
Circuito Medio Invertido/turn_right/20250614_102211_370919.jpg,0.076,turn_right
Circuito Invertido/straight/20250614_101047_028389.jpg,-0.0,straight
Maniobras/straight/20250621_112337_353309.jpg,0.002,straight
Circuito Medio Invertido/turn_right/20250614_102141_108754.jpg,0.08,turn_right
Circuito Invertido/turn_right/20250614_100352_724338.jpg,0.032,turn_right
Circuito Invertido/straight/20250614_100316_586915.jpg,-0.008,straight
Circuito Normal/turn_left/20250614_095137_743568.jpg,-0.045,turn_left
Dark Section/turn_left/20250618_201847_494491.jpg,-0.052,turn_left
Circuito Normal/straight/20250614_094912_850552.jpg,-0.005,straight
Circuito Invertido/turn_right/20250614_100609_681241.jpg,0.052,turn_right
Middle Section Normal Extra/turn_left/20250618_195729_970281.jpg,-0.066,turn_left
Middle Section Normal/turn_right/20250616_211012_041719.jpg,0.092,turn_right
Maniobras/straight/20250621_112545_673202.jpg,0.0,straight
Circuito Normal/straight/20250614_094821_810854.jpg,0.01,straight
Circuito Invertido/turn_right/20250614_101035_161736.jpg,0.092,turn_right
Dark Section/turn_left/20250618_201808_083921.jpg,-0.098,turn_left
Circuito Invertido/turn_right/20250614_100145_764568.jpg,0.092,turn_right
Dark Section Extra/turn_right/20250618_204957_578952.jpg,0.096,turn_right
Circuito Invertido/turn_right/20250614_101122_609164.jpg,0.068,turn_right
Middle Section Normal Extra/turn_right/20250618_200056_737610.jpg,0.076,turn_right
Circuito Normal/turn_left/20250614_094156_996814.jpg,-0.06,turn_left
Dark Section/turn_left/20250618_201858_427846.jpg,-0.07,turn_left
Circuito Invertido/straight/20250614_100344_135209.jpg,0.0,straight
Circuito Medio Invertido/turn_right/20250614_101932_067328.jpg,0.04,turn_right
Middle Section Normal Extra/turn_right/20250618_195605_639657.jpg,0.056,turn_right
Circuito Medio Invertido/turn_right/20250614_102229_225980.jpg,0.096,turn_right
Circuito Normal/straight/20250614_094511_377992.jpg,0.0,straight
Circuito Invertido/turn_right/20250614_100255_923909.jpg,0.096,turn_right
Circuito Invertido/turn_right/20250614_100531_013612.jpg,0.06,turn_right
Circuito Normal/turn_left/20250614_095536_169070.jpg,-0.065,turn_left
Circuito Normal/straight/20250614_095558_357352.jpg,0.0,straight
Maniobras/turn_right/20250621_112547_323476.jpg,0.056,turn_right
Circuito Invertido/turn_right/20250614_100442_967694.jpg,0.048,turn_right
Circuito Normal/straight/20250614_095808_266785.jpg,0.01,straight
Circuito Medio Normal/turn_left/20250614_101704_270135.jpg,-0.072,turn_left
Middle Section Normal/turn_left/20250616_211106_906794.jpg,-0.098,turn_left
Circuito Normal/straight/20250614_094944_852407.jpg,-0.005,straight
Maniobras/turn_right/20250621_112332_588484.jpg,0.064,turn_right
Circuito Invertido/turn_right/20250614_100651_814118.jpg,0.048,turn_right
Circuito Normal/turn_left/20250614_094636_294051.jpg,-0.08,turn_left
Dark Section Extra/straight/20250618_204827_968059.jpg,0.0,straight
Circuito Normal/straight/20250614_094501_932331.jpg,-0.005,straight
Dark Section Extra/straight/20250618_204802_759730.jpg,-0.004,straight
Circuito Invertido/turn_right/20250614_101117_626331.jpg,0.048,turn_right
Circuito Invertido/turn_right/20250614_100902_496402.jpg,0.064,turn_right
Middle Section Normal Extra/turn_left/20250618_195719_300007.jpg,-0.08,turn_left
Circuito Medio Invertido/straight/20250614_101931_210805.jpg,0.02,straight
Circuito Medio Invertido/turn_right/20250614_101923_228105.jpg,0.044,turn_right
Middle Section Normal/turn_left/20250616_211348_057926.jpg,-0.042,turn_left
Circuito Invertido/turn_right/20250614_101034_674245.jpg,0.092,turn_right
Middle Section Normal/turn_right/20250616_211230_693947.jpg,0.074,turn_right
Circuito Invertido/straight/20250614_100823_927113.jpg,0.024,straight
Middle Section Normal/turn_right/20250616_211014_654794.jpg,0.092,turn_right
Circuito Normal/straight/20250614_094046_082425.jpg,0.0,straight
Maniobras/straight/20250621_112200_963583.jpg,0.026,straight
Circuito Normal/turn_right/20250614_095527_558468.jpg,0.07,turn_right
Middle Section Normal Extra/turn_left/20250618_195820_119459.jpg,-0.072,turn_left
Circuito Medio Normal/straight/20250614_101740_261119.jpg,-0.008,straight
Circuito Invertido/turn_right/20250614_100527_547166.jpg,0.084,turn_right
Circuito Medio Normal/turn_left/20250614_101459_649832.jpg,-0.076,turn_left
Middle Section Normal Extra/turn_left/20250618_200108_413047.jpg,-0.058,turn_left
Circuito Normal/straight/20250614_094653_515348.jpg,0.0,straight
Middle Section Normal/turn_left/20250616_211349_051016.jpg,-0.042,turn_left
Circuito Invertido/straight/20250614_100204_963169.jpg,0.0,straight
Dark Section Extra/straight/20250618_204837_493447.jpg,0.014,straight
Middle Section Normal/turn_left/20250616_211118_642638.jpg,-0.042,turn_left
Circuito Medio Invertido/turn_right/20250614_102146_478143.jpg,0.032,turn_right
Middle Section Normal Extra/turn_right/20250618_195957_361028.jpg,0.066,turn_right
Circuito Invertido/straight/20250614_100049_522035.jpg,-0.004,straight
Middle Section Normal/turn_right/20250616_211238_133808.jpg,0.078,turn_right
Circuito Medio Normal/turn_left/20250614_101534_992178.jpg,-0.068,turn_left
Circuito Normal/straight/20250614_094913_688711.jpg,-0.005,straight
Circuito Invertido/straight/20250614_100517_139836.jpg,0.0,straight
Circuito Normal/straight/20250614_094530_904193.jpg,-0.01,straight
Circuito Normal/straight/20250614_095239_366942.jpg,0.02,straight
Middle Section Normal Extra/turn_left/20250618_195723_191088.jpg,-0.066,turn_left
Circuito Normal/turn_left/20250614_093954_767705.jpg,-0.035,turn_left
Dark Section Extra/straight/20250618_205001_255250.jpg,-0.012,straight
Middle Section Normal/turn_left/20250616_211310_414935.jpg,-0.058,turn_left
Circuito Invertido/turn_right/20250614_100326_083002.jpg,0.072,turn_right
Circuito Invertido/turn_right/20250614_101149_306507.jpg,0.104,turn_right
Circuito Normal/straight/20250614_095803_296520.jpg,-0.01,straight
Circuito Medio Invertido/turn_right/20250614_101934_874117.jpg,0.092,turn_right
Middle Section Normal Extra/turn_left/20250618_200122_284375.jpg,-0.078,turn_left
Circuito Invertido/turn_right/20250614_100723_495614.jpg,0.076,turn_right
Circuito Normal/turn_left/20250614_095612_635812.jpg,-0.085,turn_left
Circuito Medio Invertido/straight/20250614_102011_233469.jpg,0.028,straight
Circuito Invertido/turn_right/20250614_100956_013106.jpg,0.1,turn_right
Maniobras/turn_right/20250621_112431_139811.jpg,0.124,turn_right
Middle Section Normal Extra/turn_left/20250618_195818_801539.jpg,-0.072,turn_left
Middle Section Normal Extra/turn_right/20250618_200102_023427.jpg,0.072,turn_right
Circuito Invertido/straight/20250614_100431_138975.jpg,0.012,straight
Circuito Normal/turn_left/20250614_095625_996820.jpg,-0.085,turn_left
Circuito Medio Invertido/turn_right/20250614_101936_849861.jpg,0.084,turn_right
Dark Section/turn_left/20250618_201857_589234.jpg,-0.09,turn_left
Circuito Normal/turn_left/20250614_094724_920936.jpg,-0.085,turn_left
Middle Section Normal/turn_right/20250616_211327_072951.jpg,0.052,turn_right
Circuito Medio Invertido/turn_right/20250614_102301_218675.jpg,0.08,turn_right
